,bbox_x,bbox_y,bbox_h,bbox_w,bbox_label,bbox_confidence,time
0,0.2232074737548828,71.09196662902832,-232.78449058532715,-317.56041526794434,umbrella,0.66015625,0.0
1,0.2232074737548828,73.94003868103027,-230.05996131896973,-317.56041526794434,umbrella,0.73046875,0.162855863571167
2,1.5796089172363281,69.20433044433594,-234.79566955566406,-314.8476028442383,umbrella,0.58203125,0.3260798454284668
3,3.0974674224853516,68.94617080688477,-235.05382919311523,-311.8118953704834,umbrella,0.58203125,0.48870182037353516
4,0.0,74.10442352294922,-229.89557647705078,-319.3294334411621,umbrella,0.66015625,0.6557278633117676
5,1.5796089172363281,62.05841064453125,-241.94158935546875,-314.8476028442383,umbrella,0.5,0.8188319206237793
6,0.2232074737548828,71.09196662902832,-232.78449058532715,-317.56041526794434,umbrella,0.58203125,0.9832108020782471
7,1.5796089172363281,69.20433044433594,-234.79566955566406,-314.8476028442383,umbrella,0.66015625,1.146317958831787
8,1.5796089172363281,69.20433044433594,-234.79566955566406,-314.8476028442383,umbrella,0.66015625,1.3087220191955566
9,3.0974674224853516,73.94003868103027,-230.05996131896973,-311.8118953704834,umbrella,0.5,1.4713308811187744
10,5.945539474487305,71.79424285888672,-232.20575714111328,-311.81187629699707,umbrella,0.5,1.6340928077697754
11,0.2232074737548828,71.09196662902832,-232.78449058532715,-317.56041526794434,umbrella,0.58203125,1.79656982421875
12,1.5796089172363281,74.10442352294922,-229.89557647705078,-314.8476028442383,umbrella,0.66015625,1.9595680236816406
13,4.106645584106445,51.31707191467285,-252.68292808532715,-309.7935390472412,umbrella,0.5,2.1220598220825195
14,6.910600662231445,44.75633621215821,-258.0689239501953,-304.1856288909912,umbrella,0.41796875,2.284665822982788
15,0.0,76.1933708190918,-226.61800384521484,-319.3294334411621,umbrella,0.66015625,2.4472239017486572
16,0.2232074737548828,71.09196662902832,-232.78449058532715,-317.56041526794434,umbrella,0.73046875,2.609508991241455
