,x,y,x_vel,y_vel,x_acc,y_acc,yaw,yaw_rate
0,0.0,-4.562788944612871,0.0,0.0,-0.16998148833850024,0.09992387047166833,-4.562788944612871,0.0
1,-0.002250524575274551,-3.574859559551381,-0.025942949564362595,0.01584937463003956,0.7587111170892962,-1.4145285783113777,-3.574859559551381,0.9876401369909383
2,0.009680895235162067,-6.0292897972768476,0.1283947688083625,-0.2698192805619652,-0.5229027555641477,-0.6303166711736732,-6.0292897972768476,0.9998472126187804
3,0.029853153340568022,-8.837702535253475,0.03901880188963573,-0.37695860114385815,-0.6931185452604633,2.0005536612097985,-8.837702535253475,0.9999981113071935
4,0.033425438234884614,-3.8110879393483383,-0.05991009429019387,-0.08712633210758967,0.7653533613271755,-0.23724928657826405,-3.8110879393483383,0.9999999766527805
5,0.03369120441977216,-3.440346160898927,0.050624005714943215,-0.12056831490104127,-2.678454052641948,-0.8232937194570381,-3.440346160898927,0.9999999997113915
6,0.01578389048921175,-3.620976706423051,-0.32411928346688496,-0.23546598037244304,-0.10520656244984172,0.06849150773758594,-3.620976706423051,0.9999999999964323
7,-0.02928432281005399,-4.302193375455291,-0.33637180181088316,-0.22464405063986514,-1.5106159352229471,1.755745621746673,-4.302193375455291,0.9999999999999559
8,-0.08661391244267601,-3.693442335302857,-0.5348746121764673,0.010361694929203835,-0.9459971123737881,-0.16667890367031557,-3.693442335302857,0.9999999999999994
9,-0.16770911500132937,-2.821710676973556,-0.6588155404293229,-0.012191828996741526,-0.4947529695296849,-2.957175215859037,-2.821710676973556,1.0
10,-0.2601691149107951,-4.4775805919766976,-0.7212002812824906,-0.4115974249343406,0.10092276151650187,-1.1267446857101793,-4.4775805919766976,1.0
11,-0.35370845167894577,-3.7572761910951877,-0.7024309098179438,-0.5651679012727028,0.30933075330876036,-1.8326174852198076,-3.7572761910951877,1.0
12,-0.4396639024617161,-3.5015063352721416,-0.6559591439091544,-0.8091446736523358,-1.0820111067258424,1.9598688937001467,-3.5015063352721416,1.0
13,-0.532589520032478,-3.4366181623587435,-0.7970293158576243,-0.5410458158300042,1.8583811760784985,0.2936198201635727,-3.4366181623587435,1.0
14,-0.6195310307305819,-4.299990914818773,-0.5396587471409948,-0.49840394206517974,0.4679032145478268,3.856246547535577,-4.299990914818773,1.0
15,-0.6855615093851258,-3.3230346549118748,-0.47264136301775983,0.02242162257255567,0.042218105269370754,1.8471852301177178,-3.3230346549118748,1.0
16,-0.7499385073865248,-3.4961467649169373,-0.46314242380922493,0.2699869247956768,0.049297852973183016,2.738651661636591,-3.4961467649169373,1.0
17,-0.8153726766343973,-4.239021540097307,-0.45271417007891895,0.6347287226876244,0.2682818577308513,1.86322660854557,-4.239021540097307,1.0
18,-0.882081073987959,-5.050638744249288,-0.4125314281579291,0.883711695625591,-2.705108528367351,1.4693959629022224,-5.050638744249288,1.0
19,-0.9770685525605077,-4.381635321755082,-0.7820961903988048,1.081495594510947,-0.4351293670014962,-0.5683113421840575,-4.381635321755082,1.0
20,-1.0962985211958427,-3.1388723547381416,-0.8343618737942947,0.999552006321748,1.1070513819178818,-1.9237454220574073,-3.1388723547381416,1.0
21,-1.2051670656159006,-4.604964042412856,-0.6795469799686469,0.7354952206732821,0.3819165803967074,-0.5669458997418546,-4.604964042412856,1.0
22,-1.300106263599599,-3.882363841835599,-0.6232893702894708,0.6556296598152008,2.8638497077782645,-1.3257954318180283,-3.882363841835599,1.0
23,-1.3638033557225573,-3.9351217949277126,-0.22734234037766055,0.47082892059792686,0.4312568773363714,-0.49209930527135626,-3.9351217949277126,1.0
24,-1.394551933112502,-4.182712713542086,-0.1667075345832732,0.4020093448622053,0.9941718682942663,-0.3512910456076175,-4.182712713542086,1.0
25,-1.4117565277468573,-4.98821602617827,-0.029673593740847,0.35204123101316687,0.6810540379177458,1.9067544115858053,-4.98821602617827,1.0
26,-1.4151615961905886,-3.70185060444189,0.06641479096572134,0.6143608506415916,0.8074631439332781,-0.4544998985402051,-3.70185060444189,1.0
27,-1.3993489299193123,-3.006630060692183,0.20015561486928768,0.5359222968448037,-2.2197687023238704,1.480375173202953,-3.006630060692183,1.0
28,-1.3990150877926908,-4.7883564550651965,-0.12557236727932447,0.7500057032080427,0.4911405759957077,0.2851440310915887,-4.7883564550651965,1.0
29,-1.4223309200638665,-4.378213103524762,-0.04844323000104327,0.7887830720238281,1.8274673311478566,-1.1854434162528158,-4.378213103524762,1.0
30,-1.41709214757464,-4.743551712126411,0.22575987211228182,0.6071235681144147,-1.6637518984332358,-2.1842868299642317,-4.743551712126411,1.0
31,-1.4075040078681147,-4.994974975112406,-0.022402603313653444,0.2773409294524814,0.7232633621553299,-0.8138502997636112,-4.994974975112406,1.0
32,-1.4057671968765986,-5.49193911713015,0.08509041120938254,0.15649953332701735,-3.009769578012337,-0.4262443879541077,-5.49193911713015,1.0
33,-1.4273419541703662,-4.942538833408603,-0.3526162107469767,0.0933563631459494,-0.6900613398460864,-0.1698248772766785,-4.942538833408603,1.0
34,-1.4885964268985055,-4.0715278089397255,-0.4512558986159378,0.0675190657188864,1.6208146178480254,-1.723417831847982,-4.0715278089397255,1.0
35,-1.5370494254485456,-5.5422343568843235,-0.20698948470281883,-0.1878139485923802,-0.48149915674636423,-0.7983570937380033,-5.5422343568843235,1.0
36,-1.5677692372781096,-4.325943508284204,-0.2719122589782106,-0.29913480764979544,0.5115159014338481,-0.9189459918406766,-4.325943508284204,1.0
37,-1.5981104370311388,-3.6935688111624536,-0.19360605212652093,-0.4316510290439652,0.6466025342224857,0.06953387883195405,-3.6935688111624536,1.0
